WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,SURF_PRESSURE_DIFF,AVG_TEMP,WD_cos,RH_lag1,MONOSOON_SEASON_Southwest_Monsoon,MAX_TEMP,SL_PRESSURE_lag1,CLOUD_COVER,WS10M,XGB_fnn_random
2.07,82.66,26.43,14.76,-0.9999984769,-0.0300000000000011,29.6,-0.001745328366,81.77,0,29.91,1010.0,6.0,2.05,2.0434320440070657
2.05,86.26,25.91,6.91,-0.6347305132,-0.0300000000000011,29.4,-0.7727335735,82.66,0,28.66,1009.7,5.0,2.53,2.8922801587117184
2.53,83.21,25.43,9.01,-0.5764323162,-0.019999999999996,29.4,-0.8171448983,86.26,0,29.68,1010.0,6.0,2.11,2.4620209711900305
2.11,85.77,25.98,6.59,-0.8526401644,-0.0799999999999983,29.4,-0.5224985647,83.21,0,29.37,1009.4,5.0,3.41,2.976194230651196
3.41,87.69,26.58,4.68,-0.9284858269,-0.0699999999999931,30.4,-0.3713678356,85.77,0,28.88,1008.2,6.0,4.1,3.9055914836571244
4.1,86.95,25.93,5.86,-0.4617486132,0.0,29.9,-0.8870108332,87.69,0,29.41,1007.6,6.0,3.13,3.466234664597561
3.13,83.91,25.3,15.76,-0.6934018283,-0.0200000000000102,29.2,-0.7205511117,86.95,1,29.28,1007.4,7.0,3.62,3.4378415328995957
3.62,87.07,25.88,16.35,-0.7760464071,-0.0600000000000022,28.6,-0.6306758074,83.91,1,28.58,1007.2,6.0,4.32,4.106152321771822
4.32,89.93,25.66,20.5,-0.8813034521,-0.0699999999999931,27.5,-0.4725507649,87.07,1,28.1,1006.0,8.0,4.84,5.8135876281835275
4.84,88.21,25.73,13.52,-0.9636304532,-0.019999999999996,28.1,-0.2672383761,89.93,1,28.37,1005.9,8.0,3.58,4.42551955165397
3.58,86.42,25.91,11.17,-0.875464527,0.039999999999992,28.0,-0.4832823833,88.21,1,29.3,1005.6,8.0,3.76,3.668083948044079
3.76,89.72,26.13,26.24,-0.9997806835,-0.0300000000000011,27.5,-0.02094241988,86.42,1,28.55,1006.7,8.0,4.44,4.6221839327514225
4.44,90.98,25.95,8.09,-0.8933713883,0.1099999999999994,27.9,-0.4493189986,89.72,1,28.34,1007.3,7.0,4.19,4.91261997033749
